children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,debt
1,-1355.708231914634,37,среднее,1,женат / замужем,0,F,0
2,-1229.3914171188703,31,высшее,0,женат / замужем,0,F,0
0,-1767.9041956196395,27,высшее,0,гражданский брак,1,M,0
0,-7014.0472062105855,56,среднее,1,женат / замужем,0,F,0
1,-1191.851078278562,28,среднее,1,женат / замужем,0,F,0
0,,62,высшее,0,женат / замужем,0,F,0
0,-2400.5356558018025,29,среднее,1,женат / замужем,0,F,1
0,-13067.450761331202,57,среднее,1,женат / замужем,0,M,0
0,-1056.5266946779284,56,среднее,1,гражданский брак,1,F,0
0,-1542.6074678715506,23,среднее,1,гражданский брак,1,F,0
1,343422.2323242149,46,высшее,0,женат / замужем,0,F,0
0,-4821.497324062668,40,высшее,0,в разводе,3,M,0
0,391925.4201649085,55,среднее,1,женат / замужем,0,F,0
0,-655.5652447491121,28,среднее,1,Не женат / не замужем,4,M,0
0,363683.1534739825,55,среднее,1,женат / замужем,0,F,0
0,-2441.534643899087,43,высшее,0,женат / замужем,0,F,0
0,395151.3570882657,52,среднее,1,женат / замужем,0,F,0
1,-196.2012856740392,29,высшее,0,женат / замужем,0,F,0
0,390097.1728270946,65,среднее,1,вдовец / вдова,2,F,1
1,-3456.880690771933,34,среднее,1,женат / замужем,0,F,0
0,-327.94667956710083,57,среднее,1,Не женат / не замужем,4,F,0
0,338931.6386047064,58,начальное,3,женат / замужем,0,F,0
1,-3840.590828409256,33,среднее,1,женат / замужем,0,M,0
0,362344.2977697068,69,среднее,1,женат / замужем,0,M,0
0,,40,СРЕДНЕЕ,1,гражданский брак,1,M,0
0,-841.7592224332876,23,высшее,0,женат / замужем,0,F,0
0,-398.7058020401132,35,среднее,1,Не женат / не замужем,4,M,0
0,,30,среднее,1,женат / замужем,0,F,0
2,-1716.7398213511472,40,высшее,0,женат / замужем,0,F,0
1,-392.35912873532624,25,высшее,0,женат / замужем,0,F,0
0,-3428.430201263013,53,среднее,1,женат / замужем,0,M,0
0,,72,среднее,1,женат / замужем,0,F,0
1,-2722.8507708057045,41,среднее,1,женат / замужем,0,M,1
0,-947.9954579692812,40,среднее,1,гражданский брак,1,M,0
1,-2873.3831294758447,41,среднее,1,Не женат / не замужем,4,M,0
0,-2421.051638869794,55,среднее,1,гражданский брак,1,F,0
0,373836.5428821524,67,высшее,0,вдовец / вдова,2,F,0
0,-1799.5498933386398,23,среднее,1,женат / замужем,0,F,0
1,-3401.2243112196484,50,среднее,1,женат / замужем,0,F,0
0,-488.649590327922,44,среднее,1,женат / замужем,0,F,1
0,-3035.7118717653334,30,высшее,0,Не женат / не замужем,4,M,0
0,-5612.588726530378,48,высшее,0,Не женат / не замужем,4,F,0
2,-1784.3817310315158,47,ВЫСШЕЕ,0,женат / замужем,0,F,0
0,-5624.836655129877,60,среднее,1,Не женат / не замужем,4,M,0
3,-2640.332822598789,45,среднее,1,женат / замужем,0,M,0
0,-1558.6635308642542,27,среднее,1,гражданский брак,1,M,0
0,-2469.699251827948,34,среднее,1,женат / замужем,0,M,1
2,-4978.292764021174,35,среднее,1,Не женат / не замужем,4,M,0
0,-707.4764115786363,49,высшее,0,женат / замужем,0,F,0
2,-612.6703348742346,38,высшее,0,женат / замужем,0,F,0
0,-1825.61848313178,30,высшее,0,женат / замужем,0,F,0
1,363984.4920979978,58,среднее,1,женат / замужем,0,F,0
0,,61,среднее,1,женат / замужем,0,F,0
1,335581.6685149753,62,среднее,1,женат / замужем,0,F,0
2,,28,среднее,1,женат / замужем,0,M,0
1,-2148.783474865675,27,среднее,1,Не женат / не замужем,4,F,0
2,-1576.4041994362558,33,среднее,1,женат / замужем,0,F,0
0,-1033.1623769358275,29,высшее,0,Не женат / не замужем,4,M,1
2,,40,среднее,1,вдовец / вдова,2,F,0
0,-657.7307174266033,40,высшее,0,гражданский брак,1,M,0
3,-5931.6267843102905,34,среднее,1,женат / замужем,0,F,0
1,,50,высшее,0,женат / замужем,0,M,0
0,-5151.660784048872,36,среднее,1,женат / замужем,0,F,0
0,-1071.1914085063297,35,среднее,1,Не женат / не замужем,4,F,0
0,,62,СРЕДНЕЕ,1,женат / замужем,0,M,0
0,-1121.1912498474471,47,среднее,1,женат / замужем,0,F,0
2,-933.851088552566,29,высшее,0,женат / замужем,0,F,0
1,-2121.224209704057,28,высшее,0,женат / замужем,0,F,0
1,-792.2858813966507,22,высшее,0,Не женат / не замужем,4,F,0
1,,28,среднее,1,Не женат / не замужем,4,F,0
0,,34,высшее,0,женат / замужем,0,F,0
0,,66,среднее,1,женат / замужем,0,F,1
1,342056.3606472257,63,среднее,1,гражданский брак,1,F,0
1,-170.22774480035648,30,Среднее,1,женат / замужем,0,M,0
1,-2865.3002613227195,33,среднее,1,женат / замужем,0,F,0
1,-541.4496600669886,32,высшее,0,женат / замужем,0,M,0
0,-2591.824421076364,33,высшее,0,Не женат / не замужем,4,M,0
1,-3291.692696727779,36,высшее,0,женат / замужем,0,F,0
0,-2360.744239640113,31,неоконченное высшее,2,женат / замужем,0,M,0
1,-1016.6423909342632,49,среднее,1,Не женат / не замужем,4,F,0
2,-2980.918352271673,48,среднее,1,женат / замужем,0,M,0
3,,43,высшее,0,женат / замужем,0,M,0
2,-1123.1365463715483,31,среднее,1,женат / замужем,0,F,0
0,376163.11682348297,63,среднее,1,женат / замужем,0,M,0
0,-2019.735236513712,43,неоконченное высшее,2,в разводе,3,F,0
0,-727.9537216899979,35,среднее,1,женат / замужем,0,F,0
0,-3074.63986567761,50,высшее,0,Не женат / не замужем,4,M,0
0,,64,среднее,1,вдовец / вдова,2,F,0
1,-601.3269846379852,35,высшее,0,гражданский брак,1,F,0
0,-11121.0985166758,53,среднее,1,гражданский брак,1,F,0
0,,59,высшее,0,женат / замужем,0,F,0
0,-2127.6640536762307,29,среднее,1,гражданский брак,1,F,0
0,-7835.290944204475,48,среднее,1,женат / замужем,0,F,0
0,-1904.1977387480304,40,ВЫСШЕЕ,0,Не женат / не замужем,4,F,0
1,-3497.630386570195,41,среднее,1,женат / замужем,0,M,0
0,-3891.402929438224,31,среднее,1,Не женат / не замужем,4,M,0
0,-646.5450471546129,28,среднее,1,женат / замужем,0,M,0
0,,30,среднее,1,женат / замужем,0,F,1
0,-661.5024618868,44,высшее,0,женат / замужем,0,M,0
0,-2674.7130827976025,61,высшее,0,Не женат / не замужем,4,M,0
1,-1767.113958621328,32,Высшее,0,Не женат / не замужем,4,F,0
0,372659.80528402905,62,среднее,1,женат / замужем,0,F,0
0,-8104.4874126136865,42,высшее,0,гражданский брак,1,F,0
1,-104.56956581307873,26,высшее,0,Не женат / не замужем,4,F,0
0,-1537.8610718630414,57,среднее,1,вдовец / вдова,2,F,0
0,-2610.814486396629,45,высшее,0,в разводе,3,F,0
0,-250.9699867316777,35,высшее,0,женат / замужем,0,M,0
0,375719.4349113029,59,среднее,1,женат / замужем,0,F,0
0,,64,среднее,1,женат / замужем,0,F,0
0,,23,высшее,0,гражданский брак,1,F,0
0,-1206.0256604223111,62,среднее,1,женат / замужем,0,F,0
0,-11004.533144773524,52,среднее,1,женат / замужем,0,F,0
0,,26,неоконченное высшее,2,женат / замужем,0,M,0
0,,33,среднее,1,женат / замужем,0,M,0
0,346829.7836932887,61,среднее,1,в разводе,3,F,0
0,-4071.902645344589,45,среднее,1,Не женат / не замужем,4,M,0
0,331618.28663682146,62,Высшее,0,женат / замужем,0,F,0
1,-2839.990724596204,29,среднее,1,женат / замужем,0,F,0
0,,64,среднее,1,женат / замужем,0,F,0
0,-3855.516072023548,58,среднее,1,гражданский брак,1,F,0
0,-475.9282687923196,43,высшее,0,гражданский брак,1,M,0
0,-1988.228743911431,28,высшее,0,Не женат / не замужем,4,M,0
0,-1587.6966405445255,44,среднее,1,женат / замужем,0,M,0
0,-2573.90744080162,27,среднее,1,гражданский брак,1,M,0
0,,58,среднее,1,женат / замужем,0,F,0
0,,45,среднее,1,в разводе,3,F,1
0,-5056.171433255235,48,высшее,0,женат / замужем,0,F,0
0,,57,среднее,1,вдовец / вдова,2,F,0
0,-3276.7833939168604,40,среднее,1,гражданский брак,1,M,0
1,-1614.5487400842733,39,высшее,0,гражданский брак,1,F,0
0,-3464.010059323855,47,среднее,1,женат / замужем,0,F,1
0,-629.4862923667871,57,среднее,1,Не женат / не замужем,4,F,0
0,392383.5007148712,64,среднее,1,женат / замужем,0,F,0
1,-3003.494099694596,35,среднее,1,женат / замужем,0,F,0
0,-9923.89667573632,50,среднее,1,гражданский брак,1,F,0
1,-608.4483071438011,27,среднее,1,женат / замужем,0,M,0
2,-2933.3479880126674,47,высшее,0,женат / замужем,0,F,0
1,-1020.6994599109662,39,среднее,1,в разводе,3,M,0
0,,47,среднее,1,в разводе,3,F,0
0,372210.24847961456,72,среднее,1,женат / замужем,0,F,0
0,352800.5744706253,54,среднее,1,гражданский брак,1,F,0
0,-1965.1416011718047,38,среднее,1,женат / замужем,0,M,1
1,-1226.058099068282,62,среднее,1,женат / замужем,0,M,0
0,-417.2116179465748,64,среднее,1,вдовец / вдова,2,F,0
0,384834.834676828,58,высшее,0,вдовец / вдова,2,F,0
3,-1431.3296896444094,35,начальное,3,гражданский брак,1,F,0
1,-637.8526141686447,31,среднее,1,женат / замужем,0,M,0
0,-1988.27098829558,49,среднее,1,в разводе,3,M,0
0,398380.2540207468,62,среднее,1,гражданский брак,1,F,0
0,-11312.960234464204,53,среднее,1,женат / замужем,0,F,0
0,-1576.3934554545706,39,неоконченное высшее,2,гражданский брак,1,M,0
0,-1699.7070223162182,43,среднее,1,женат / замужем,0,F,0
0,-4008.7697293780825,36,среднее,1,Не женат / не замужем,4,F,0
0,364914.419760659,57,среднее,1,женат / замужем,0,M,0
0,-1031.9076040874072,50,среднее,1,женат / замужем,0,F,0
0,-4595.317075871034,56,среднее,1,женат / замужем,0,F,0
1,-905.3273760710832,35,высшее,0,гражданский брак,1,F,0
0,399436.0998398833,55,СРЕДНЕЕ,1,в разводе,3,F,0
0,-3321.0252613476605,37,СРЕДНЕЕ,1,женат / замужем,0,M,0
0,339765.4447516278,63,среднее,1,женат / замужем,0,F,0
0,,51,среднее,1,женат / замужем,0,F,0
1,399155.68482068414,56,высшее,0,гражданский брак,1,F,0
1,348595.8813275645,38,среднее,1,гражданский брак,1,F,1
1,-672.1783763363642,62,среднее,1,женат / замужем,0,F,0
0,-1627.8429371227826,47,Высшее,0,женат / замужем,0,F,0
1,351027.30652730784,55,среднее,1,женат / замужем,0,F,0
1,,35,среднее,1,в разводе,3,M,0
0,-620.9447718627079,26,высшее,0,Не женат / не замужем,4,F,0
1,-327.3497795068536,30,высшее,0,женат / замужем,0,M,0
1,-280.5981813123464,33,высшее,0,женат / замужем,0,F,0
0,,24,среднее,1,гражданский брак,1,F,0
2,-377.0925934255864,23,среднее,1,женат / замужем,0,F,0
1,-178.09172938316402,28,высшее,0,женат / замужем,0,M,0
0,339337.0170586155,63,среднее,1,женат / замужем,0,M,0
1,,34,высшее,0,Не женат / не замужем,4,F,0
0,-190.44765153293227,51,среднее,1,женат / замужем,0,M,1
0,-280.4918039186383,30,высшее,0,Не женат / не замужем,4,F,0
1,-274.7160066265681,35,высшее,0,женат / замужем,0,F,0
0,-231.78555719710727,44,среднее,1,женат / замужем,0,M,0
0,347744.4083888389,64,среднее,1,Не женат / не замужем,4,F,0
0,-1102.0192231081753,58,среднее,1,женат / замужем,0,M,0
0,-1057.9070095360105,31,высшее,0,женат / замужем,0,F,0
0,333114.5890746489,65,среднее,1,вдовец / вдова,2,F,0
1,-2050.7508884132776,40,высшее,0,Не женат / не замужем,4,M,0
0,-265.23495828800804,27,высшее,0,женат / замужем,0,M,0
0,366156.1449236653,57,среднее,1,женат / замужем,0,F,0
0,366963.3109217442,69,среднее,1,вдовец / вдова,2,F,0
0,367322.17190812726,59,среднее,1,женат / замужем,0,F,0
0,-165.66746673304007,25,среднее,1,гражданский брак,1,F,0
1,-1675.6103464220294,31,среднее,1,женат / замужем,0,M,0
1,-6312.129973851292,52,среднее,1,Не женат / не замужем,4,F,0
0,397430.033306676,67,высшее,0,вдовец / вдова,2,F,0
0,399260.4485155553,39,среднее,1,женат / замужем,0,M,0
0,-2728.9426857670787,31,высшее,0,Не женат / не замужем,4,F,0
0,-2754.2175059397478,38,среднее,1,женат / замужем,0,F,0
2,-739.629187347352,33,высшее,0,Не женат / не замужем,4,F,0
0,,57,среднее,1,в разводе,3,F,0
0,-247.4050243622852,28,среднее,1,гражданский брак,1,M,0
0,-5730.569282658415,38,высшее,0,женат / замужем,0,M,0
3,-2949.422637238689,35,среднее,1,женат / замужем,0,M,0
0,-1180.9241250928933,54,среднее,1,женат / замужем,0,M,0
1,-3082.7681824885085,27,среднее,1,Не женат / не замужем,4,F,0
0,378579.0444753185,59,среднее,1,женат / замужем,0,M,0
0,-1094.8827487070262,21,высшее,0,Не женат / не замужем,4,F,0
1,-1224.7608827017868,37,среднее,1,в разводе,3,F,0
2,-2110.363974466722,39,среднее,1,женат / замужем,0,F,0
1,-1989.6774731619755,26,высшее,0,женат / замужем,0,F,0
0,335436.8845107696,59,среднее,1,женат / замужем,0,F,0
1,,35,среднее,1,женат / замужем,0,F,0
0,,64,среднее,1,женат / замужем,0,F,0
0,-945.5921298175516,34,среднее,1,женат / замужем,0,F,0
1,-1486.2631722222284,35,среднее,1,гражданский брак,1,M,0
0,385769.85251372366,60,высшее,0,вдовец / вдова,2,F,0
1,-776.4256688885504,39,ВЫСШЕЕ,0,гражданский брак,1,F,0
2,-108.96704186614716,0,высшее,0,женат / замужем,0,M,0
1,330469.2739749417,49,высшее,0,гражданский брак,1,M,0
0,-3442.005103979992,60,среднее,1,женат / замужем,0,M,0
1,-3916.864270272012,40,неоконченное высшее,2,гражданский брак,1,F,0
0,-2981.337050217376,37,высшее,0,женат / замужем,0,M,0
0,373057.6592229392,67,высшее,0,гражданский брак,1,F,0
0,,42,высшее,0,женат / замужем,0,M,0
0,333819.99131572514,60,среднее,1,гражданский брак,1,M,0
1,395972.0931677292,60,среднее,1,Не женат / не замужем,4,F,0
0,-2797.183296159896,44,высшее,0,гражданский брак,1,F,0
0,-4802.232101583296,42,среднее,1,в разводе,3,F,0
0,-2801.3050016870893,30,Среднее,1,гражданский брак,1,F,0
0,387961.4345460364,70,среднее,1,вдовец / вдова,2,F,0
0,-838.2795183898421,28,среднее,1,Не женат / не замужем,4,M,0
2,-780.474829768125,31,среднее,1,женат / замужем,0,F,0
0,385995.11347776325,56,среднее,1,вдовец / вдова,2,F,0
0,-3195.264272203266,55,высшее,0,в разводе,3,F,0
3,-4425.180136707039,40,среднее,1,Не женат / не замужем,4,F,0
0,-1328.923731854229,27,среднее,1,Не женат / не замужем,4,M,0
1,-1931.819208290074,45,среднее,1,женат / замужем,0,F,1
2,-191.9666296632077,33,среднее,1,женат / замужем,0,M,0
0,-1018.5277556575038,36,среднее,1,Не женат / не замужем,4,F,0
0,-2343.052173088727,28,высшее,0,гражданский брак,1,F,0
0,,48,среднее,1,в разводе,3,F,1
1,,51,среднее,1,гражданский брак,1,F,0
0,-3441.486228665501,43,среднее,1,женат / замужем,0,M,0
1,-673.3946524527317,42,высшее,0,гражданский брак,1,F,0
0,-994.1569447442356,38,высшее,0,Не женат / не замужем,4,M,0
1,-4488.4027204851545,38,среднее,1,женат / замужем,0,F,0
0,-193.4537529738789,40,среднее,1,женат / замужем,0,F,0
0,-3168.1589993009693,50,среднее,1,женат / замужем,0,F,0
0,,56,среднее,1,гражданский брак,1,F,0
0,-1683.5957846313129,27,среднее,1,женат / замужем,0,M,0
1,-4697.673866684542,47,среднее,1,женат / замужем,0,F,0
0,-3227.5331953761297,28,среднее,1,Не женат / не замужем,4,M,0
0,-3522.3385371011736,33,высшее,0,женат / замужем,0,F,0
0,-1961.5298351564984,31,Среднее,1,женат / замужем,0,M,1
1,-3327.869239332209,41,среднее,1,женат / замужем,0,M,1
1,-2713.1169545546763,36,среднее,1,гражданский брак,1,F,0
0,-451.15238690987593,21,ВЫСШЕЕ,0,Не женат / не замужем,4,F,0
0,-2034.8369459207336,43,среднее,1,женат / замужем,0,M,0
0,-948.3419275862352,37,высшее,0,Не женат / не замужем,4,F,0
0,-1707.4298148921082,40,среднее,1,гражданский брак,1,M,0
1,-1207.029621838652,45,среднее,1,женат / замужем,0,F,0
1,339818.80354418827,49,СРЕДНЕЕ,1,в разводе,3,F,0
0,-207.6766685216781,39,среднее,1,вдовец / вдова,2,F,0
0,335273.41135990666,66,Среднее,1,вдовец / вдова,2,F,0
0,378744.1005630917,65,среднее,1,женат / замужем,0,F,0
0,-1095.2015600941545,57,высшее,0,женат / замужем,0,M,0
1,-1131.9282052425351,23,среднее,1,женат / замужем,0,F,0
0,349479.1080440797,59,среднее,1,Не женат / не замужем,4,F,0
0,367142.9473589339,66,среднее,1,женат / замужем,0,F,0
0,-7327.642955793695,43,Среднее,1,женат / замужем,0,F,0
1,-1018.5252830182484,0,среднее,1,женат / замужем,0,F,1
2,-1222.1589727154123,41,высшее,0,женат / замужем,0,F,0
0,-959.9155948404352,29,среднее,1,женат / замужем,0,M,0
0,-2636.0905174957184,53,высшее,0,женат / замужем,0,M,0
0,-2195.695526555246,31,высшее,0,в разводе,3,M,0
0,-1351.4590061716012,38,высшее,0,женат / замужем,0,F,0
0,-902.9857065640896,31,НЕОКОНЧЕННОЕ ВЫСШЕЕ,2,женат / замужем,0,F,0
0,-10080.03191838338,44,среднее,1,гражданский брак,1,F,0
0,-11131.051259926102,51,среднее,1,Не женат / не замужем,4,F,0
1,-1352.83568566865,46,среднее,1,женат / замужем,0,F,0
0,-1393.889712876466,57,среднее,1,в разводе,3,M,0
1,-1059.0194798173322,35,высшее,0,женат / замужем,0,F,0
2,-2202.4298537063955,33,среднее,1,женат / замужем,0,F,0
0,-9376.978474772148,48,высшее,0,женат / замужем,0,F,0
0,-4091.139437903076,61,начальное,3,вдовец / вдова,2,F,0
2,-193.44449368331647,27,высшее,0,в разводе,3,F,0
0,382422.0070892707,72,среднее,1,гражданский брак,1,F,0
0,-1369.3961258059744,55,среднее,1,в разводе,3,M,0
0,-182.5514770765924,37,высшее,0,женат / замужем,0,M,0
0,-2804.110810337471,36,высшее,0,в разводе,3,M,0
0,-508.575444429334,44,среднее,1,женат / замужем,0,M,1
0,-1048.028923946125,43,неоконченное высшее,2,женат / замужем,0,F,0
2,-1948.4714962017904,37,среднее,1,гражданский брак,1,M,0
0,-1203.2451641947066,41,среднее,1,женат / замужем,0,M,0
0,-3399.0064577081985,40,среднее,1,гражданский брак,1,F,0
1,,57,среднее,1,женат / замужем,0,F,0
0,-2981.530724852829,34,высшее,0,Не женат / не замужем,4,F,0
0,-6146.657574432432,49,среднее,1,женат / замужем,0,F,0
0,-2590.976637733427,40,среднее,1,женат / замужем,0,F,0
2,-2746.0491118145537,32,высшее,0,женат / замужем,0,F,0
0,-774.9914623078317,45,среднее,1,женат / замужем,0,F,0
0,-9148.749198468586,50,Среднее,1,в разводе,3,F,1
0,399170.8193313516,65,среднее,1,женат / замужем,0,F,0
0,-589.4210584752312,65,неоконченное высшее,2,женат / замужем,0,M,0
0,382517.3210251765,66,среднее,1,вдовец / вдова,2,F,0
0,-2224.246572326078,29,среднее,1,женат / замужем,0,M,0
0,-1681.9196124154294,34,среднее,1,гражданский брак,1,F,0
0,,28,среднее,1,женат / замужем,0,M,1
1,-5447.687152952905,36,среднее,1,гражданский брак,1,M,0
0,350620.3195986601,53,среднее,1,женат / замужем,0,F,0
0,-9945.187489445208,48,среднее,1,женат / замужем,0,F,0
0,-2406.218612832741,49,среднее,1,женат / замужем,0,F,0
0,-1657.6689247439786,27,Среднее,1,гражданский брак,1,M,0
1,-5907.743684726691,38,среднее,1,вдовец / вдова,2,M,0
0,-1610.8875361313876,42,Среднее,1,женат / замужем,0,F,0
0,-1487.0453953721124,38,среднее,1,Не женат / не замужем,4,F,0
1,-5147.883547864875,30,среднее,1,женат / замужем,0,F,0
1,-1191.7152726994475,35,высшее,0,женат / замужем,0,M,0
0,-96.20529318997106,28,высшее,0,женат / замужем,0,M,1
2,-1751.4111263256314,43,среднее,1,женат / замужем,0,M,1
2,-3324.6192848381065,46,среднее,1,женат / замужем,0,M,0
1,-1277.237964164615,33,высшее,0,женат / замужем,0,M,0
0,-5505.1524468394055,60,высшее,0,Не женат / не замужем,4,F,0
0,-1641.3246315788,51,среднее,1,женат / замужем,0,M,0
0,372084.1545363364,54,среднее,1,женат / замужем,0,F,0
0,-1444.9004553957493,34,высшее,0,женат / замужем,0,M,0
0,-12509.450812157693,58,высшее,0,вдовец / вдова,2,F,0
0,-394.0428823359112,26,Высшее,0,Не женат / не замужем,4,F,0
0,-457.4765817807712,64,среднее,1,женат / замужем,0,M,0
0,-2237.727252167104,28,неоконченное высшее,2,Не женат / не замужем,4,M,0
1,-1571.8713962622437,51,среднее,1,Не женат / не замужем,4,F,0
1,,38,среднее,1,женат / замужем,0,F,0
1,-523.9945022598673,32,среднее,1,женат / замужем,0,F,0
2,-962.5714183426752,38,высшее,0,гражданский брак,1,F,0
0,-3545.2150496251616,30,среднее,1,женат / замужем,0,M,0
0,369510.2621083605,68,среднее,1,женат / замужем,0,F,0
0,-807.2046191964928,25,среднее,1,Не женат / не замужем,4,M,0
0,-1607.3837237360433,24,среднее,1,женат / замужем,0,F,0
0,-1649.0434061236194,43,неоконченное высшее,2,женат / замужем,0,F,0
0,-1888.8908704779467,57,среднее,1,женат / замужем,0,F,0
0,346584.6727438124,59,среднее,1,женат / замужем,0,F,0
0,337246.3394659888,55,среднее,1,гражданский брак,1,F,0
0,-195.6101573335199,48,высшее,0,вдовец / вдова,2,F,0
1,-1278.5133976121,29,неоконченное высшее,2,Не женат / не замужем,4,F,0
2,-1687.0386721624802,27,высшее,0,женат / замужем,0,M,0
2,-2480.7475396146674,45,высшее,0,женат / замужем,0,M,0
0,392681.0557814205,61,среднее,1,в разводе,3,F,0
1,356941.9697711803,53,среднее,1,женат / замужем,0,F,0
0,358859.4186410781,56,среднее,1,женат / замужем,0,F,0
1,-1516.265705034617,44,среднее,1,женат / замужем,0,F,0
1,-3475.295993041116,46,среднее,1,Не женат / не замужем,4,M,0
0,-825.6130773491327,45,среднее,1,женат / замужем,0,M,0
1,-538.1546878953094,23,высшее,0,женат / замужем,0,F,0
0,362426.96557381673,67,среднее,1,гражданский брак,1,F,0
0,-3138.06821117526,30,высшее,0,женат / замужем,0,F,0
0,,37,высшее,0,гражданский брак,1,F,0
0,-4598.8921936195175,49,среднее,1,Не женат / не замужем,4,F,0
0,-5258.06887183894,32,Среднее,1,гражданский брак,1,F,1
2,-1992.8210337235253,36,Высшее,0,женат / замужем,0,M,0
0,-1429.442767303878,40,высшее,0,женат / замужем,0,F,0
1,-7051.883919533535,41,среднее,1,гражданский брак,1,M,0
0,-2312.17473984744,40,среднее,1,женат / замужем,0,F,0
0,384474.0886498862,65,среднее,1,вдовец / вдова,2,F,0
0,396340.0007851469,54,СРЕДНЕЕ,1,в разводе,3,F,0
1,-1213.6060870207248,37,среднее,1,Не женат / не замужем,4,F,0
0,-628.3971108117478,48,высшее,0,женат / замужем,0,F,0
0,-1308.7801405614682,25,высшее,0,гражданский брак,1,M,0
0,-2180.2651864316613,43,среднее,1,женат / замужем,0,F,0
1,-1044.5754600696469,31,среднее,1,женат / замужем,0,M,0
0,,27,среднее,1,женат / замужем,0,M,0
1,372850.49880323134,59,среднее,1,Не женат / не замужем,4,M,0
0,-269.228971548692,26,среднее,1,женат / замужем,0,M,1
0,345464.58278929745,60,среднее,1,Не женат / не замужем,4,F,0
0,-277.8285011374729,56,среднее,1,в разводе,3,F,0
0,,63,среднее,1,женат / замужем,0,F,0
1,-785.857044511424,25,среднее,1,женат / замужем,0,F,0
0,-648.8109887944189,36,среднее,1,в разводе,3,F,0
1,-886.0573512646666,44,высшее,0,женат / замужем,0,F,0
1,-2126.7587360559824,27,среднее,1,гражданский брак,1,F,0
0,334779.0382393108,54,среднее,1,гражданский брак,1,M,1
2,-3594.9401108474635,26,среднее,1,в разводе,3,F,0
